@relation bank-additional-full-weka.filters.unsupervised.attribute.RemoveType-Tnumeric

@attribute job {housemaid,services,admin.,blue-collar,technician,retired,management,unemployed,self-employed,unknown,entrepreneur,student}
@attribute marital {married,single,divorced,unknown}
@attribute education {basic.4y,high.school,basic.6y,basic.9y,professional.course,unknown,university.degree,illiterate}
@attribute default {no,unknown,yes}
@attribute housing {no,yes,unknown}
@attribute loan {no,yes,unknown}
@attribute contact {telephone,cellular}
@attribute month {may,jun,jul,aug,oct,nov,dec,mar,apr,sep}
@attribute day_of_week {mon,tue,wed,thu,fri}
@attribute poutcome {nonexistent,failure,success}
@attribute y {yes,no}

@data
admin.,single,high.school,no,yes,no,cellular,apr,thu,success,yes
technician,divorced,professional.course,no,unknown,unknown,cellular,apr,thu,nonexistent,yes
management,married,university.degree,no,yes,no,cellular,apr,thu,success,yes
technician,married,professional.course,no,yes,no,cellular,apr,thu,failure,no
technician,married,unknown,no,no,no,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,success,yes
self-employed,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
housemaid,married,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,yes
admin.,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
technician,married,university.degree,no,no,yes,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,unknown,unknown,cellular,apr,thu,nonexistent,yes
housemaid,married,high.school,no,yes,yes,cellular,apr,thu,failure,no
admin.,married,high.school,no,yes,yes,cellular,apr,thu,nonexistent,yes
housemaid,married,high.school,no,no,no,cellular,apr,thu,nonexistent,yes
self-employed,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
student,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
unemployed,single,basic.4y,no,yes,no,cellular,apr,thu,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,apr,thu,success,yes
admin.,married,university.degree,no,yes,no,cellular,apr,thu,failure,no
self-employed,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
services,married,high.school,no,yes,no,cellular,apr,thu,failure,yes
admin.,single,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
management,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
retired,married,basic.4y,no,yes,no,cellular,apr,thu,nonexistent,no
retired,married,basic.4y,no,yes,no,cellular,apr,thu,failure,yes
admin.,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
entrepreneur,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
management,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
self-employed,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
blue-collar,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
management,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
management,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
technician,married,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,yes
student,single,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
retired,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
self-employed,married,university.degree,no,yes,no,cellular,apr,thu,success,no
admin.,single,university.degree,no,yes,yes,cellular,apr,thu,failure,no
technician,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,no
technician,married,professional.course,no,no,no,cellular,apr,thu,success,yes
technician,married,professional.course,no,yes,yes,cellular,apr,thu,nonexistent,yes
technician,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
technician,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
technician,married,professional.course,no,yes,yes,cellular,apr,thu,success,yes
services,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
admin.,married,unknown,no,yes,no,cellular,apr,thu,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,apr,thu,success,yes
admin.,single,university.degree,no,yes,no,cellular,apr,thu,failure,no
admin.,married,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
retired,married,professional.course,no,no,no,cellular,apr,thu,nonexistent,no
retired,divorced,professional.course,no,yes,no,cellular,apr,thu,nonexistent,no
technician,married,professional.course,no,yes,yes,cellular,apr,thu,success,yes
blue-collar,married,basic.9y,no,yes,no,telephone,apr,thu,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,apr,thu,failure,no
services,married,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
technician,married,professional.course,no,no,no,cellular,apr,thu,success,yes
technician,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,no
technician,single,professional.course,no,yes,yes,cellular,apr,thu,failure,no
services,married,high.school,no,yes,no,cellular,apr,thu,failure,no
admin.,married,university.degree,no,unknown,unknown,cellular,apr,thu,nonexistent,no
services,married,high.school,no,yes,no,cellular,apr,thu,nonexistent,yes
technician,divorced,high.school,no,yes,no,cellular,apr,thu,failure,yes
admin.,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
technician,divorced,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,telephone,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,failure,no
admin.,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,success,no
management,married,university.degree,unknown,yes,no,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,no,yes,cellular,apr,thu,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,apr,thu,failure,yes
self-employed,single,university.degree,no,yes,no,cellular,apr,thu,failure,no
admin.,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,single,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
self-employed,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
technician,married,university.degree,no,yes,no,cellular,apr,thu,failure,yes
blue-collar,single,basic.9y,no,yes,no,cellular,apr,thu,success,yes
admin.,single,professional.course,no,yes,no,cellular,apr,thu,nonexistent,no
management,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
management,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
unemployed,married,university.degree,no,no,no,cellular,apr,thu,failure,no
student,single,basic.4y,no,yes,no,cellular,apr,thu,nonexistent,no
technician,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
student,single,high.school,no,no,yes,cellular,apr,thu,nonexistent,yes
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,success,yes
unemployed,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
services,married,high.school,no,no,no,cellular,apr,thu,nonexistent,no
services,married,high.school,no,yes,yes,cellular,apr,thu,nonexistent,yes
technician,married,professional.course,no,no,no,cellular,apr,thu,failure,no
admin.,married,high.school,no,yes,yes,cellular,apr,thu,nonexistent,yes
blue-collar,single,basic.6y,no,no,no,cellular,apr,thu,nonexistent,yes
technician,divorced,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
blue-collar,married,high.school,no,no,no,cellular,apr,thu,nonexistent,yes
blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,nonexistent,no
retired,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
retired,married,high.school,no,no,no,cellular,apr,thu,failure,no
admin.,single,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,no
admin.,married,basic.6y,no,no,no,cellular,apr,thu,nonexistent,yes
admin.,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,yes,yes,cellular,apr,thu,success,no
technician,married,professional.course,no,yes,yes,cellular,apr,thu,failure,yes
admin.,divorced,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
technician,married,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,yes
admin.,single,high.school,no,no,no,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,no
self-employed,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,apr,thu,success,no
student,single,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,single,university.degree,no,no,yes,telephone,apr,thu,nonexistent,yes
unemployed,single,basic.9y,no,yes,no,cellular,apr,thu,success,yes
retired,divorced,professional.course,no,no,no,cellular,apr,thu,nonexistent,yes
unemployed,single,basic.9y,no,yes,no,cellular,apr,thu,failure,no
admin.,married,university.degree,no,yes,no,cellular,apr,thu,success,yes
management,married,professional.course,no,no,no,cellular,apr,thu,nonexistent,no
technician,divorced,high.school,no,no,yes,cellular,apr,thu,nonexistent,yes
admin.,single,professional.course,no,no,no,telephone,apr,thu,nonexistent,no
technician,single,professional.course,no,no,no,cellular,apr,thu,success,no
blue-collar,single,basic.4y,no,no,no,cellular,apr,thu,nonexistent,yes
admin.,divorced,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
entrepreneur,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
student,single,unknown,unknown,yes,no,cellular,apr,thu,nonexistent,yes
admin.,married,professional.course,no,yes,no,cellular,apr,thu,failure,yes
student,single,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
blue-collar,single,basic.4y,no,yes,no,cellular,apr,thu,nonexistent,yes
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,failure,no
retired,married,university.degree,no,no,no,cellular,apr,thu,failure,no
admin.,divorced,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
student,single,high.school,no,no,no,cellular,apr,thu,nonexistent,yes
management,married,university.degree,no,no,no,telephone,apr,thu,success,no
technician,married,professional.course,no,yes,no,cellular,apr,thu,success,yes
admin.,single,high.school,no,yes,yes,cellular,apr,thu,nonexistent,no
retired,married,university.degree,no,yes,no,cellular,apr,thu,failure,no
retired,divorced,basic.4y,no,no,yes,cellular,apr,thu,failure,no
admin.,married,university.degree,no,no,no,cellular,apr,thu,success,yes
technician,divorced,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
management,married,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,yes
retired,divorced,university.degree,no,no,no,cellular,apr,thu,success,no
self-employed,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
student,single,high.school,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,single,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,yes
admin.,married,university.degree,no,yes,yes,cellular,apr,thu,success,no
self-employed,single,university.degree,unknown,yes,no,cellular,apr,thu,nonexistent,yes
admin.,single,professional.course,no,no,no,cellular,apr,thu,nonexistent,no
student,single,high.school,no,no,no,cellular,apr,thu,nonexistent,no
admin.,single,high.school,no,unknown,unknown,cellular,apr,thu,nonexistent,yes
student,single,basic.4y,no,yes,yes,cellular,apr,thu,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,single,university.degree,no,no,yes,telephone,apr,thu,nonexistent,no
student,single,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
unknown,married,unknown,no,no,no,cellular,apr,thu,nonexistent,no
technician,single,professional.course,no,no,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,yes,cellular,apr,thu,nonexistent,no
blue-collar,single,basic.4y,no,yes,yes,cellular,apr,thu,nonexistent,yes
technician,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,apr,thu,failure,yes
retired,married,basic.4y,no,no,no,cellular,apr,thu,failure,yes
technician,married,professional.course,no,no,no,cellular,apr,thu,nonexistent,yes
technician,divorced,professional.course,no,no,no,cellular,apr,thu,failure,yes
housemaid,married,unknown,no,yes,yes,cellular,apr,thu,nonexistent,no
student,single,high.school,no,yes,no,cellular,apr,thu,failure,no
management,married,university.degree,unknown,yes,no,cellular,apr,thu,nonexistent,yes
technician,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
management,married,university.degree,no,no,yes,cellular,apr,thu,nonexistent,no
management,married,university.degree,no,yes,no,cellular,apr,thu,failure,yes
management,single,high.school,no,yes,no,cellular,apr,thu,failure,no
admin.,married,high.school,no,yes,no,cellular,apr,thu,failure,no
admin.,married,high.school,no,no,no,cellular,apr,thu,failure,no
entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
services,married,basic.9y,no,yes,no,cellular,apr,thu,failure,no
admin.,married,university.degree,no,no,no,cellular,apr,thu,failure,no
technician,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
blue-collar,married,professional.course,unknown,yes,yes,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,yes,yes,telephone,apr,thu,nonexistent,yes
self-employed,single,university.degree,no,yes,no,telephone,apr,thu,nonexistent,no
unemployed,single,basic.4y,no,no,no,telephone,apr,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,married,basic.6y,no,yes,no,cellular,apr,thu,nonexistent,no
retired,divorced,basic.9y,unknown,yes,no,cellular,apr,thu,failure,no
unemployed,single,basic.4y,no,yes,no,cellular,apr,thu,nonexistent,yes
services,divorced,high.school,no,no,no,cellular,apr,thu,nonexistent,no
management,married,high.school,no,yes,no,cellular,apr,thu,nonexistent,no
blue-collar,married,professional.course,unknown,no,no,cellular,apr,thu,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
blue-collar,single,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
retired,divorced,basic.4y,no,yes,no,telephone,apr,thu,nonexistent,no
technician,married,basic.9y,no,yes,no,cellular,apr,thu,nonexistent,no
student,single,university.degree,no,yes,no,cellular,apr,thu,failure,no
admin.,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
student,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
technician,married,university.degree,no,yes,no,cellular,apr,thu,success,no
admin.,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
blue-collar,married,professional.course,unknown,yes,no,cellular,apr,thu,failure,no
technician,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,single,high.school,no,no,no,cellular,apr,thu,nonexistent,yes
admin.,single,high.school,no,no,no,cellular,apr,thu,nonexistent,yes
management,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,single,professional.course,no,no,no,cellular,apr,thu,nonexistent,yes
admin.,single,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
admin.,married,high.school,no,no,no,cellular,apr,thu,nonexistent,no
retired,divorced,university.degree,no,no,no,cellular,apr,thu,nonexistent,yes
student,married,high.school,no,yes,no,cellular,apr,thu,nonexistent,yes
unemployed,married,high.school,no,yes,no,cellular,apr,thu,success,yes
admin.,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,no,telephone,apr,thu,nonexistent,no
blue-collar,married,professional.course,no,yes,no,cellular,apr,thu,nonexistent,yes
services,married,high.school,no,no,no,cellular,apr,thu,nonexistent,yes
admin.,married,university.degree,no,no,yes,telephone,apr,thu,success,yes
entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,yes
student,single,unknown,unknown,yes,no,cellular,apr,thu,nonexistent,no
services,married,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,apr,thu,success,yes
self-employed,single,university.degree,unknown,yes,yes,cellular,apr,thu,success,yes
admin.,married,university.degree,no,no,no,cellular,apr,thu,nonexistent,no
student,single,high.school,no,yes,no,telephone,apr,thu,nonexistent,no
student,married,high.school,no,no,no,cellular,apr,thu,nonexistent,yes
services,married,high.school,no,yes,no,cellular,apr,thu,nonexistent,yes
retired,married,university.degree,no,yes,no,cellular,apr,thu,success,no
unknown,single,university.degree,no,yes,no,telephone,apr,thu,nonexistent,yes
admin.,single,professional.course,no,yes,yes,telephone,apr,thu,nonexistent,no
admin.,divorced,university.degree,no,yes,no,cellular,apr,thu,nonexistent,no
student,single,high.school,no,no,yes,cellular,apr,thu,nonexistent,no
entrepreneur,married,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,yes
unemployed,single,basic.4y,no,yes,no,cellular,apr,thu,nonexistent,no
retired,divorced,high.school,no,yes,no,cellular,may,mon,nonexistent,no
retired,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,no,no,cellular,may,mon,nonexistent,no
entrepreneur,married,basic.9y,no,yes,no,cellular,may,mon,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,success,yes
retired,married,high.school,no,yes,no,cellular,may,mon,nonexistent,no
student,single,unknown,no,yes,yes,cellular,may,mon,nonexistent,yes
housemaid,married,professional.course,no,no,no,cellular,may,mon,nonexistent,yes
technician,married,high.school,no,no,no,cellular,may,mon,success,no
entrepreneur,married,university.degree,no,no,no,telephone,may,mon,nonexistent,yes
technician,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,may,mon,nonexistent,yes
services,married,high.school,no,no,no,cellular,may,mon,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,may,mon,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,may,mon,failure,no
admin.,single,high.school,no,yes,yes,cellular,may,mon,failure,no
entrepreneur,single,professional.course,no,no,no,cellular,may,mon,nonexistent,no
management,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
services,married,basic.6y,no,no,no,cellular,may,mon,success,yes
self-employed,single,university.degree,no,yes,no,cellular,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,failure,yes
management,married,university.degree,no,yes,no,cellular,may,mon,failure,yes
admin.,married,university.degree,no,yes,no,cellular,may,mon,nonexistent,yes
admin.,divorced,university.degree,no,no,no,cellular,may,mon,failure,no
services,single,high.school,no,yes,no,cellular,may,mon,nonexistent,yes
unknown,married,professional.course,no,yes,no,cellular,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,no
retired,married,university.degree,no,yes,no,cellular,may,mon,nonexistent,no
management,single,university.degree,no,yes,yes,cellular,may,mon,nonexistent,yes
admin.,divorced,university.degree,no,yes,no,cellular,may,mon,nonexistent,yes
retired,married,basic.9y,no,no,no,cellular,may,mon,failure,no
admin.,married,high.school,no,no,no,cellular,may,mon,nonexistent,yes
technician,married,unknown,no,yes,yes,cellular,may,mon,success,yes
unemployed,married,high.school,no,no,no,cellular,may,mon,success,yes
admin.,married,high.school,no,yes,no,cellular,may,mon,success,yes
services,married,basic.6y,no,yes,no,cellular,may,mon,failure,no
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,no,no,telephone,may,mon,success,yes
admin.,married,university.degree,no,yes,no,cellular,may,mon,nonexistent,yes
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
services,married,professional.course,no,yes,yes,cellular,may,mon,nonexistent,no
unemployed,single,university.degree,no,yes,no,cellular,may,mon,nonexistent,yes
blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,success,yes
services,married,basic.6y,no,no,no,cellular,may,mon,success,yes
student,single,university.degree,no,no,yes,cellular,may,mon,nonexistent,no
admin.,single,high.school,no,no,no,cellular,may,mon,nonexistent,no
services,married,professional.course,no,yes,no,cellular,may,mon,nonexistent,no
technician,unknown,university.degree,no,yes,no,cellular,may,mon,nonexistent,no
blue-collar,married,basic.6y,unknown,no,no,cellular,may,mon,nonexistent,no
entrepreneur,married,basic.6y,no,yes,no,cellular,may,mon,failure,no
blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,nonexistent,no
services,single,high.school,no,yes,yes,cellular,may,mon,failure,no
retired,married,basic.6y,no,no,no,cellular,may,mon,nonexistent,no
student,single,high.school,no,no,no,cellular,may,mon,failure,no
management,single,university.degree,no,yes,no,cellular,may,mon,nonexistent,no
student,single,unknown,no,no,yes,cellular,may,mon,nonexistent,no
management,married,university.degree,no,no,no,cellular,may,mon,success,no
admin.,single,university.degree,no,yes,no,cellular,may,mon,nonexistent,yes
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
admin.,single,high.school,no,no,no,cellular,may,mon,nonexistent,no
admin.,single,university.degree,no,no,yes,cellular,may,mon,nonexistent,yes
student,single,unknown,no,no,yes,cellular,may,mon,nonexistent,no
technician,married,university.degree,no,no,no,cellular,may,mon,failure,no
technician,married,university.degree,no,no,yes,cellular,may,mon,failure,yes
admin.,married,professional.course,no,yes,no,cellular,may,mon,nonexistent,no
retired,married,professional.course,no,yes,no,cellular,may,mon,nonexistent,no
admin.,married,professional.course,no,no,yes,cellular,may,mon,nonexistent,yes
admin.,divorced,university.degree,no,yes,no,cellular,may,mon,nonexistent,yes
management,single,university.degree,no,no,no,cellular,may,mon,nonexistent,no
services,married,high.school,no,no,no,cellular,may,mon,nonexistent,no
admin.,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
unemployed,married,high.school,no,yes,no,cellular,may,mon,success,yes
retired,married,basic.6y,no,yes,no,cellular,may,mon,nonexistent,yes
blue-collar,married,basic.9y,no,no,no,cellular,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,yes,cellular,may,mon,nonexistent,no
admin.,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,yes,cellular,may,mon,failure,no
blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,nonexistent,no
services,married,professional.course,no,no,no,cellular,may,mon,nonexistent,no
blue-collar,married,high.school,unknown,yes,yes,cellular,may,mon,failure,no
blue-collar,married,high.school,unknown,yes,no,cellular,may,mon,nonexistent,no
blue-collar,married,unknown,unknown,yes,no,cellular,may,mon,nonexistent,no
services,married,professional.course,no,no,no,cellular,may,mon,nonexistent,no
admin.,single,university.degree,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,no,cellular,may,mon,nonexistent,no
management,married,high.school,no,yes,no,cellular,may,mon,failure,no
admin.,single,university.degree,no,yes,no,cellular,may,mon,nonexistent,yes
admin.,married,professional.course,no,yes,yes,cellular,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,nonexistent,no
unemployed,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,university.degree,no,yes,no,cellular,may,mon,failure,no
technician,married,basic.9y,unknown,no,no,cellular,may,mon,nonexistent,no
technician,unknown,university.degree,no,yes,yes,cellular,may,mon,nonexistent,no
admin.,married,professional.course,no,yes,no,cellular,may,mon,success,no
blue-collar,unknown,high.school,no,no,no,cellular,may,mon,nonexistent,no
student,single,unknown,no,no,yes,cellular,may,mon,nonexistent,no
retired,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,professional.course,no,yes,yes,cellular,may,mon,nonexistent,no
admin.,divorced,university.degree,no,yes,yes,cellular,may,mon,nonexistent,no
services,married,high.school,unknown,no,no,cellular,may,mon,nonexistent,yes
admin.,single,university.degree,no,no,no,cellular,may,mon,nonexistent,no
entrepreneur,married,basic.9y,no,no,no,cellular,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,may,mon,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,may,mon,failure,no
services,married,high.school,no,no,no,cellular,may,mon,failure,no
technician,married,professional.course,no,yes,no,cellular,may,mon,success,yes
technician,single,university.degree,no,yes,no,cellular,may,mon,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,may,mon,failure,no
admin.,married,high.school,unknown,yes,no,cellular,may,mon,nonexistent,no
student,single,unknown,no,yes,no,cellular,may,mon,nonexistent,no
technician,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
admin.,divorced,high.school,no,yes,no,cellular,may,mon,nonexistent,no
technician,single,university.degree,no,no,no,cellular,may,mon,nonexistent,yes
entrepreneur,married,basic.4y,unknown,no,no,cellular,may,mon,nonexistent,no
admin.,married,professional.course,no,yes,no,cellular,may,mon,failure,yes
management,married,university.degree,no,no,yes,cellular,may,mon,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,nonexistent,no
self-employed,married,basic.4y,unknown,no,no,cellular,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,no,yes,cellular,may,mon,failure,no
admin.,married,professional.course,no,yes,no,cellular,may,mon,nonexistent,no
self-employed,single,professional.course,no,yes,no,cellular,may,mon,nonexistent,yes
self-employed,married,university.degree,no,no,no,cellular,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,nonexistent,no
technician,single,university.degree,no,no,no,cellular,may,mon,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,nonexistent,yes
admin.,single,university.degree,no,no,no,cellular,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,may,mon,nonexistent,no
admin.,married,university.degree,no,no,yes,cellular,may,mon,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,may,mon,nonexistent,no
admin.,married,university.degree,no,no,yes,cellular,may,mon,nonexistent,no
housemaid,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.9y,no,yes,yes,cellular,may,mon,success,no
blue-collar,single,basic.9y,no,no,no,cellular,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,may,mon,nonexistent,yes
housemaid,married,high.school,no,yes,yes,telephone,may,mon,failure,no
technician,single,professional.course,no,no,no,cellular,may,mon,failure,no
self-employed,married,university.degree,no,yes,no,cellular,may,mon,nonexistent,yes
admin.,married,high.school,no,unknown,unknown,cellular,may,mon,failure,no
admin.,married,basic.9y,no,yes,yes,cellular,may,mon,nonexistent,no
unemployed,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,may,mon,nonexistent,yes
student,single,high.school,no,yes,yes,cellular,may,mon,nonexistent,yes
admin.,married,university.degree,no,yes,no,cellular,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,cellular,may,mon,nonexistent,no
services,married,professional.course,no,yes,yes,cellular,may,mon,nonexistent,no
technician,single,high.school,no,yes,no,cellular,may,mon,failure,no
housemaid,single,university.degree,no,no,yes,cellular,may,mon,nonexistent,no
